title,published,KernAI_stock_news_distilbert,gigachat_score_only,deepseek_score
ЛУКОЙЛ не заинтересован в покупке «Башнефти»,2014-12-10 09:15:09,-79.28757667541504,50,0
ЛУКОЙЛ оспорит решение о передаче лицензии на Требса и Титова,2014-12-10 10:18:00,-79.84536290168762,-25,-20
«Башнефть» и ЛУКОЙЛ оспорили изъятие месторождений Требса и Титова,2014-12-15 11:09:39,-99.5474636554718,50,-20
Бензин подешевел почти на 1% после критики Путина,2014-12-15 18:53:18,-99.81196522712708,80,50
«Роснефть» и ЛУКОЙЛ попытаются сэкономить на контрагентах,2014-12-22 21:09:18,0,-50,20
ЛУКОЙЛ продал «Роснефти» 20% в Национальном нефтяном консорциуме,2014-12-23 17:03:38,0,-50,50
Цены на бензин начнут повышаться в январе,2014-12-24 14:14:59,98.91652464866638,-80,20
ЛУКОЙЛ заложил бюджет на 2015 год из цены на нефть в $60,2014-12-26 14:02:49,-99.84217882156372,40,30
Алекперов назвал реальным повышение цены на нефть до $80 в 2015 году,2014-12-26 15:20:18,89.3265426158905,60,50
ЛУКОЙЛ не планирует обращаться за помощью в ФНБ,2014-12-26 15:28:41,-96.53646945953369,25,5
Нефтяники заложили в бюджеты на 2015 год нефть по $40–80 за баррель,2014-12-29 14:35:22,49.163609743118286,50,30
"Трейдер ЛУКОЙЛа купит нефть у «Башнефть-Полюса» на сумму до $0,9 млрд",2014-12-30 15:01:16,99.62239265441895,75,50
Россия вопреки санкциям добыла рекордный объем нефти со времен СССР,2015-01-02 13:18:19,95.99145650863647,85,20
Fitch понизило рейтинг 13 крупнейших российских компаний,2015-01-13 17:58:15,-99.43128824234009,-80,-60
Алекперов допустил падение цены на нефть до $25,2015-01-16 09:19:02,-99.6935248374939,-80,-50
Алекперов готовит сына к карьере в корпоративном центре ЛУКОЙЛа,2015-01-16 09:43:39,0,50,5
Украина обвинила ЛУКОЙЛ в финансировании терроризма,2015-01-16 09:53:38,-99.82471466064453,Error_Evaluation_Gigachat,-40
ЛУКОЙЛ отверг обвинения СБУ в финансировании терроризма,2015-01-16 13:54:23,-54.418134689331055,85,5
СМИ не исключают намерения Киева национализировать структуру ЛУКОЙЛа,2015-01-17 00:21:15,0,Error_Evaluation_Gigachat,-40
ЛУКОЙЛ рассмотрит возможность подачи иска к Украине,2015-01-19 15:12:44,0,Error_Evaluation_Gigachat,-30
Moody's понизило рейтинги «Газпрома» и «Роснефти»,2015-01-20 18:13:09,-99.64901804924011,-50,-70
Миллиард на буровых: Александр Джапаридзе возьмет в партнеры Schlumberger,2015-01-20 22:14:16,96.8636691570282,75,50
ЛУКОЙЛ выразил надежду на разрешение «конфуза» с обвинениями в терроризме,2015-01-22 13:35:14,98.20714592933655,50,5
Акции ЛУКОЙЛа выросли на 7% на фоне заявлений Алекперова,2015-01-22 14:13:15,99.80497360229492,70,75
ЛУКОЙЛ прогнозирует среднюю цену на нефть в 2015 году в $65–70 за баррель,2015-01-22 16:09:19,99.8006284236908,40,50
Миноритарий «Башнефти» проиграла суд по месторождениям Требса и Титова ,2015-01-22 16:36:21,-99.69093203544617,-30,-20
Вагит Алекперов и менеджеры консолидировали контроль в ЛУКОЙЛе,2015-01-23 15:05:18,0,Error_Evaluation_Gigachat,50
ЛУКОЙЛ подаст в суд для защиты чести компании после обвинений Украины  ,2015-01-23 18:08:25,-99.83792304992676,Error_Evaluation_Gigachat,-20
Алекперов попросил суд найти заказчика тяжб по делу Требса и Титова,2015-01-23 18:20:24,0,80,0
ЛУКОЙЛ изложил СБУ свою позицию по делу о деятельности на Украине,2015-01-27 14:12:26,0,Error_Evaluation_Gigachat,-20
ЛУКОЙЛ впервые догнал «Роснефть» по капитализации ,2015-01-30 13:01:12,0,75,50
"Первый вице-президент ЛУКОЙЛа купил акции компании на 11,8 млн руб.",2015-02-02 08:22:17,96.62696123123169,75,50
Путин пообещал поддержку новым проектам ЛУКОЙЛа,2015-02-02 11:26:08,98.70145320892334,75,70
Марк Мобиус не попал в число кандидатов в совет директоров НК «ЛУКОЙЛ»,2015-02-04 13:21:55,0,25,0
Мобиус выйдет из совета директоров ЛУКОЙЛа из-за отсутствия времени ,2015-02-09 10:57:03,-99.35612678527832,-50,0
ЛУКОЙЛ решил судиться с Sinopec в Лондоне из-за срыва сделки,2015-02-09 15:21:34,-99.79755282402039,-80,-20
Нефтяники впервые пошли на уступки независимым операторам АЗС,2015-02-11 12:36:09,97.17934131622314,50,30
Совладельцами Eurasia Drilling могут быть структуры Вагита Алекперова ,2015-02-16 10:05:48,0,75,5
Украина открыла новое уголовное дело против ЛУКОЙЛа,2015-02-17 16:47:19,0,Error_Evaluation_Gigachat,-30
ЛУКОЙЛ связал обвинения со стороны Украины с «политическими процессами» ,2015-02-18 13:20:22,-99.7863233089447,Error_Evaluation_Gigachat,-20
"Вице-президент ЛУКОЙЛа Федун приобрел акции компании на 33,2 млн руб.",2015-02-27 14:25:55,97.39243388175964,50,50
Чистая прибыль ЛУКОЙЛа в 2014 году снизилась почти на 40% ,2015-03-03 10:50:40,-97.9579210281372,-75,-40
ЛУКОЙЛ заявил о возможном снижении добычи нефти в России на 5-20 млн т,2015-03-03 13:06:40,-99.26232099533081,-30,-30
Федун допустил рост цен на нефть до $100 к концу 2015 года,2015-03-03 13:26:41,97.22310900688171,60,60
Совладелец ЛУКОЙЛа предсказал падение объемов добычи нефти в России,2015-03-03 18:13:24,-99.7161865234375,-50,-30
«Роснефть» выкупила у ЛУКОЙЛа долю в нефтяном консорциуме в Венесуэле,2015-03-04 16:05:39,98.92385005950928,-80,50
Нефтяники выступили с замечаниями по налогу на  финансовый результат,2015-03-09 21:30:22,0,75,-30
Минфин и Минэнерго поспорили о налоговом эксперименте в нефтяной отрасли,2015-03-13 14:45:39,0,35,-20
Структуры Алекперова приобрели ADR ЛУКОЙЛа на $60 млн,2015-03-16 15:32:05,97.35713601112366,50,50
ЛУКОЙЛ закрыл сделку по вхождению в проект на шельфе Камеруна,2015-03-17 08:07:17,0,50,50
Конец легкой нефти: насколько сократится ее добыча в России к 2035 году,2015-03-18 18:47:34,-96.40766978263855,-80,-30
Добыча сланцевой нефти в России станет выгодной в 2017 году ,2015-03-20 12:51:22,98.91858696937561,50,50
"В Кремле поддержали идею о допуске ЛУКОЙЛа  к арктическому шельфу
",2015-03-26 03:12:15,0,75,50
В Кремле пока не решили вопрос о доступе частных компаний к шельфу,2015-03-26 09:38:43,0,25,-20
Авиакомпании столкнулись с резким ростом цен на керосин,2015-04-07 19:00:00,0,-80,-40
Алекперов заявил о деофшоризации «ЛУКОЙЛ Оверсиз»,2015-04-09 17:31:37,0,35,30
Reuters узнало о намерении ЛУКОЙЛа выйти из саудовского газового проекта,2015-04-13 18:01:53,0,-50,-20
ЛУКОЙЛ возобновил работу офиса в Иране ,2015-04-15 09:21:46,0,25,50
Алекперов не ждет роста цен на энергоносители в среднесрочной перспективе,2015-04-20 23:01:31,0,-75,-20
ЛУКОЙЛ рассчитывает вернуться в Иран после снятия санкций,2015-04-21 01:48:10,98.50382208824158,50,50
«Роснефть» обвинила Минприроды в «лоббировании» интересов ЛУКОЙЛа,2015-04-22 06:34:44,-99.81885552406311,-50,-20
«Роснефть» получит отсрочку на шельфе из-за крепких льдов Арктики,2015-04-23 21:01:15,-99.5103120803833,50,30
ЛУКОЙЛ на 40% увеличит дивиденды акционерам ,2015-04-28 10:47:28,97.39869832992554,90,80
ЛУКОЙЛ закрыл сделку по продаже АЗС на Украине,2015-04-29 16:31:55,0,-50,5
27 российских компаний попали в список крупнейших по версии Forbes,2015-05-07 00:45:58,0,50,30
Нефтяники увидели в новом КоАП черты «полицейского государства»,2015-05-19 16:39:04,0,-50,-20
ЛУКОЙЛ исключил назначение Алекперова главой совета директоров «Спартака»,2015-05-22 14:29:52,0,25,0
Forbes назвал Алекперова и Федуна совладельцами нефтяной компании из США,2015-05-26 08:07:32,0,50,5
Скачок курса доллара обошелся российским компаниям в 300 млрд руб.,2015-05-27 18:56:36,0,-50,-60
Топливный слив: каждая пятая АЗС обманывает покупателя,2015-05-28 18:40:27,0,-50,-30
Алекперов допустил рост цены на нефть выше $75 в течение 3-5 лет,2015-05-28 18:46:15,99.55596923828125,60,70
ЛУКОЙЛ объявил о продаже сети АЗС в Эстонии,2015-06-03 08:21:26,0,-80,20
Из-за падения цен на нефть прибыль ЛУКОЙЛа упала на 60%,2015-06-10 10:59:25,-99.75293278694153,-80,-60
Владельцы заправок начали повышать цены на бензин,2015-06-15 23:54:30,94.98501420021057,80,30
Минфин не поддержал новые налоги для нефтяников,2015-06-16 18:32:32,-58.28123688697815,75,50
Подъем со дна: в какую цену барреля верят нефтяные магнаты,2015-06-22 22:51:29,0,50,50
ЛУКОЙЛ хочет снизить долю в нефтяном проекте в Саудовской Аравии,2015-06-24 06:36:59,0,-50,-20
Total отдаст ЛУКОЙЛу долю в проекте по добыче трудноизвлекаемой нефти,2015-06-25 06:33:36,98.49643111228943,80,50
ЛУКОЙЛ снизил биржевые цены на бензин после жалоб покупателей ,2015-06-25 11:17:46,-77.91740894317627,-75,-20
Менеджеры ЛУКОЙЛа получат почти 45 млрд руб. дивидендов за 2014 год,2015-06-25 15:09:05,98.44016432762146,30,50
«Русское радио» и Maximum перейдут под контроль государства,2015-06-30 19:24:36,0,-80,20
Эксперты предупредили о росте цен на бензин на 2–4 руб. до конца года ,2015-07-01 13:01:51,-99.83218312263489,-75,-20
Суд Румынии наложил арест на счета ЛУКОЙЛа,2015-07-09 00:35:38,-91.52731895446777,-100,-30
ЛУКОЙЛ опроверг арест своих счетов на €2 млрд в Румынии,2015-07-09 10:00:06,0,80,5
ЛУКОЙЛ обжалует обвинение прокуратуры Румынии в отмывании денег,2015-07-09 13:56:00,-84.66747403144836,75,-30
ЛУКОЙЛ отказался продавать НПЗ в Румынии на фоне дела об отмывании денег,2015-07-14 10:05:13,-50.90175271034241,50,-30
Алекперов жалуется президенту: как развивается конфликт ЛУКОЙЛа в Румынии,2015-07-14 19:30:59,-97.56968021392822,Error_Evaluation_Gigachat,-20
ЛУКОЙЛ попросил Брюссель о поддержке в тяжбе с румынскими властями,2015-07-15 16:37:18,-99.4063675403595,50,5
Налоговики через суд заставили «Рольф» доплатить налоги,2015-07-21 14:38:21,-99.4989812374115,-50,-30
ФАС вместе с нефтяными компаниями сформирует резерв бензина для Сибири,2015-07-29 08:00:00,91.72261357307434,50,50
"Румыния обвинила «дочку» ЛУКОЙЛа в отмывании €1,77 млрд",2015-08-03 16:36:15,-99.82123374938965,-90,-40
Румынскую «дочку» ЛУКОЙЛа заподозрили в нарушении санкционного режима,2015-08-04 18:45:54,-99.70394968986511,-50,-30
Суд в Румынии отказался снять арест с активов ЛУКОЙЛа на €2 млрд,2015-08-05 10:49:21,0,-50,-40
ЛУКОЙЛ победил в конкурсе на Восточно-Таймырский участок,2015-08-11 15:48:31,98.55421781539917,80,70
«Роснефть» оспорила получение ЛУКОЙЛом участка у шельфа,2015-08-17 06:11:37,-99.6451735496521,-50,-20
Суд запретил Роснедрам выдавать ЛУКОЙЛу лицензию на выигранный участок,2015-08-18 13:15:35,0,-80,-30
ЛУКОЙЛ продал Sinopec долю в Caspian Investments Resources,2015-08-20 14:32:25,0,-50,50
Чиновники придумали два рецепта борьбы с ростом цен на бензин,2015-08-23 17:45:36,0,50,-20
Директору румынского НПЗ ЛУКОЙЛа запретили поездку в Москву,2015-08-24 12:19:38,-99.71158504486084,-30,-20
