title,published,KernAI_stock_news_distilbert,gigachat_score_only,deepseek_score
Акции «Мечела» выросли более чем на 11%,2014-12-19 07:58:04,99.82642531394958,65,50
Биржевой курс доллара опустился ниже 59 руб.,2014-12-19 12:19:55,-99.80195760726929,70,-20
Биржевой курс доллара упал ниже 56 руб.,2014-12-22 07:09:25,-99.82240796089172,70,30
Биржевой курс евро опустился ниже 68 руб.,2014-12-22 12:12:19,-99.8317003250122,-50,-30
Московская биржа сделала доступной населению доходность 20% в долларах,2014-12-23 19:33:26,97.26777076721191,80,80
Биржевой курс евро превысил 67 руб.,2014-12-24 07:18:14,99.24644231796265,-50,50
Акции «Системы» выросли на 27%,2014-12-24 08:47:29,99.77359771728516,50,75
Московская биржа опровергла информацию о манипулировании рынком,2014-12-24 15:44:00,-53.31449508666992,80,50
Московская биржа опровергла сообщения о манипулировании на валютном рынке,2014-12-24 19:47:45,-76.14129781723022,50,50
Аналитики предупредили о возможных скачках валют в праздники,2014-12-29 14:23:31,-99.85271692276001,-50,-30
Биржевой курс доллара превысил 59 рублей,2014-12-29 20:16:58,99.11367893218994,-30,50
Доллар и евро подорожали на открытии первых торгов на Московской бирже,2015-01-05 07:13:34,99.39026832580566,-50,30
Рынок акций на Московской бирже продолжил падение вслед за нефтью,2015-01-06 09:10:35,-99.82289671897888,-80,-70
Биржевой курс евро вырос до 75 руб.,2015-01-12 07:10:40,99.70760345458984,20,50
Московская биржа временно приостановила торги на срочном рынке,2015-01-12 11:38:54,-98.64548444747925,-80,-50
Причиной приостановки торгов на Московской бирже стала техническая ошибка,2015-01-12 12:47:43,-99.77710247039795,-80,-20
Московская биржа назвала причину сбоя,2015-01-12 17:10:05,0,75,-30
Биржевой курс евро превысил 76 руб.,2015-01-13 07:11:40,96.29923701286316,-50,50
ФСБ и Генпрокуратура будут расследовать обвал рубля в «черный вторник»,2015-01-14 17:22:59,-99.70670342445374,50,-40
Биржевой курс доллара опустился ниже 64 руб.,2015-01-15 07:23:42,-99.79972243309021,50,30
Как стать лучшим частным инвестором,2015-01-16 09:13:10,99.62518811225891,25,5
Биржевой курс евро превысил 76 рублей,2015-01-20 17:08:07,99.35757517814636,-25,50
Биржевой курс доллара поднялся выше 66 руб.,2015-01-26 15:35:59,99.78722333908081,-30,50
Доллар взлетел выше 68 руб. после снижения рейтинга России,2015-01-26 18:24:48,-99.7832715511322,-75,-70
Биржевой курс евро опустился ниже 76 руб.,2015-01-27 17:07:54,-99.83200430870056,-50,-30
Акции «Мечела» взлетели на 20% после заявления Мантурова,2015-01-29 12:19:30,-99.81932044029236,80,75
Биржевой курс доллара опустился ниже 66 руб.,2015-02-03 14:13:20,-99.79305267333984,50,30
Биржевой курс доллара поднялся выше 67 руб.,2015-02-04 15:37:59,99.7546374797821,-25,50
Биржевой курс доллара достиг 68 руб.,2015-02-04 16:12:24,99.74247217178345,50,15
Биржевой курс евро опустился ниже 75 руб.,2015-02-09 07:24:35,-99.78432655334473,-20,-30
Биржевой курс доллара превысил 66 руб.,2015-02-11 07:19:31,98.04534912109375,-50,40
Рубль не отреагировал на завершение переговоров в Минске,2015-02-12 07:13:56,-99.63093400001526,Error_Evaluation_Gigachat,0
Биржевой курс доллара опустился ниже 65 руб.,2015-02-13 07:15:23,-99.7907042503357,70,50
Индекс РТС достиг уровня 900 впервые с декабря,2015-02-13 13:48:22,99.8353123664856,50,70
Биржевой курс евро опустился ниже 70 руб.,2015-02-18 13:44:45,-99.7791051864624,50,-20
Акции «Мечела» растут более чем на 12%,2015-02-19 08:42:21,99.81766939163208,85,65
Банк «Югра» ошибся на полмиллиарда рублей,2015-02-20 06:00:27,0,-25,-40
Биржевой курс доллара впервые с января упал ниже 60 руб.,2015-02-26 10:11:33,-99.54948425292969,80,50
Индекс ММВБ поднялся выше 1800 пунктов впервые с 20 февраля,2015-03-03 09:38:41,99.81300234794617,50,75
Московская биржа приостановила торги валютой,2015-03-05 08:41:03,-99.68591928482056,-80,-70
Торги валютой на Московской бирже возобновятся в 12:40 ,2015-03-05 09:27:38,0,50,5
Московская биржа возобновила торги валютой после технического сбоя ,2015-03-05 09:48:22,73.46583604812622,75,50
Биржевой курс доллара опустился ниже 61 руб.,2015-03-05 13:55:57,-99.80719089508057,75,50
Доллар при открытии торгов поднялся выше 61 руб.,2015-03-10 07:21:58,99.7995138168335,-25,40
Кризис и девальвация принесли Московской бирже рекордную прибыль,2015-03-12 16:08:42,99.79093670845032,85,50
Акции «Мечела» упали более чем на 20% после заявления Улюкаева,2015-03-16 07:54:09,-99.82374906539917,-80,-40
Банк России задумался о приостановке торгов валютой,2015-03-16 20:18:00,-99.37398433685303,-80,-30
Биржевой курс доллара упал ниже 60 руб.,2015-03-18 18:45:55,-99.82339143753052,50,50
Биржевой курс евро впервые с декабря упал ниже 64 руб. ,2015-03-19 07:24:23,-99.60997104644775,-35,-30
Ограничения валютных торгов на Московской бирже составят менее 30 минут,2015-03-19 10:27:02,0,-25,50
Биржевой курс доллара поднялся выше 58 руб.,2015-03-30 07:16:05,99.7905969619751,20,30
Банк России передумал выходить из капитала Московской биржи,2015-04-02 08:51:59,0,50,50
Кризис заставил ЦБ отменить решение об уходе из Московской биржи,2015-04-02 18:37:17,-99.59880709648132,80,50
Акции ОАК подорожали на Московской бирже на 30%,2015-04-03 13:57:22,99.78756904602051,75,70
Биржевой курс евро впервые с ноября опустился ниже 61 руб.,2015-04-06 15:51:19,-99.66093301773071,-50,-20
Биржевой курс доллара впервые с декабря упал ниже 53 руб.,2015-04-09 07:16:22,-99.45862293243408,70,50
Биржевой курс доллара опустился ниже 51 руб.,2015-04-10 07:45:23,-99.79769587516785,80,-20
Биржевой курс доллара превысил 52 руб.,2015-04-17 14:51:05,98.73825907707214,-30,-30
ЦБ вынудил банки покупать валюту ,2015-04-21 06:39:04,-99.45251941680908,-50,-30
Биржевой курс доллара поднялся выше 52 руб.,2015-04-30 14:12:53,99.79804158210754,-30,50
