title,published,KernAI_stock_news_distilbert,gigachat_score_only,deepseek_score
Total перестала покупать акции НОВАТЭКа после крушения Boeing на Украине,2014-07-30 09:08:43,67.90452003479004,Error_Evaluation_Gigachat,-20
Медведев пообещал главе НОВАТЭКа поддержать бизнес в период санкций,2014-09-09 10:26:31,0,Error_Evaluation_Gigachat,50
Член совета директоров НОВАТЭКа претендует на пост и.о. главы Total,2014-10-21 16:49:43,0,50,50
«Роснефть» встанет в общую очередь за средствами ФНБ,2014-10-24 18:02:20,0,Error_Evaluation_Gigachat,-30
НОВАТЭК купил землю для нового офиса в Москве почти за 5 млрд рублей,2014-10-29 17:25:26,97.46667742729187,30,5
Прибыль НОВАТЭКа по МСФО в III квартале упала почти на 68%,2014-10-29 17:26:21,-99.71856474876404,-75,-40
Путин пообещал помочь НОВАТЭКу продолжить проект «Ямал СПГ»,2014-10-31 07:04:56,96.66953086853027,Error_Evaluation_Gigachat,70
Тимченко не намерен продавать долю в НОВАТЭКе,2014-11-07 10:20:16,-67.28082299232483,50,50
НОВАТЭК хочет прекратить сотрудничество с компанией Игоря Юсуфова,2014-11-07 15:27:04,0,-50,-20
Тимченко надеется на выполнение договоров по оборудованию для «Ямала СПГ»,2014-11-09 12:02:48,58.57827663421631,50,50
Правительство поможет НОВАТЭКу сэкономить на «Ямал-СПГ»,2014-11-13 12:36:25,97.35502004623413,75,50
НОВАТЭК представил обоснование заявки на 150 млрд рублей из ФНБ,2014-11-19 13:38:19,0,20,50
НОВАТЭК хочет получить средства из ФНБ в иностранной валюте,2014-11-21 00:20:16,0,50,30
НОВАТЭК потратил $280 тыс. на лоббирование отмены санкций в США,2014-12-01 07:54:48,-96.09003067016602,Error_Evaluation_Gigachat,5
НОВАТЭК получит средства из ФНБ через ВТБ,2014-12-04 09:19:50,96.42009735107422,50,50
Компания НОВАТЭКа отозвала иск о банкротстве предприятия «Мечела»,2014-12-12 14:31:31,-98.48341941833496,80,30
Российские нефтегазовые компании за год подешевели вдвое ,2014-12-18 17:44:43,99.10847544670105,-50,-70
МЭР привязало выплаты из ФНБ на проект «Ямал СПГ» к доллару,2014-12-18 20:00:54,0,50,50
"НОВАТЭК в 2014 году увеличил добычу газа на 1,5%",2015-01-13 15:28:25,96.92502617835999,30,5
Fitch понизило рейтинг 13 крупнейших российских компаний,2015-01-13 17:58:15,-99.43128824234009,-85,-70
НОВАТЭК увидел нездоровую конкуренцию в наложении на него санкций,2015-01-23 10:21:25,-99.78018403053284,Error_Evaluation_Gigachat,-30
Аналитики JPMorgan и Citigroup ухудшили оценки НОВАТЭКу из-за «Ямала СПГ»,2015-02-03 08:14:27,-99.09762740135193,-50,-40
"S&P снизило рейтинги «Газпрома», «Роснефти» и «МегаФона»",2015-02-04 17:00:39,-86.13970875740051,-50,-70
Экс-глава совета директоров НОВАТЭКа Симановский может уйти из Госдумы,2015-02-19 07:21:01,0,25,0
Симановский может вновь возглавить совет директоров НОВАТЭКа,2015-02-27 01:38:07,0,50,40
НОВАТЭК начал искать инвестора на 10% в «Ямал СПГ»,2015-03-16 21:01:38,83.4722101688385,50,50
Глава ВЭБа Владимир Дмитриев покинет совет директоров НОВАТЭКа,2015-03-24 16:21:18,0,-25,5
НОВАТЭК может построить плавучую платформу в рамках проекта «Ямал СПГ»,2015-03-24 16:34:09,94.27419304847717,35,50
НОВАТЭК заявил о намерении продать 9% «Ямал СПГ» до середины 2015 года,2015-04-13 11:55:34,-94.86292600631714,-40,30
Нефтяникам придется покупать российскую технику ради новых лицензий,2015-04-20 18:10:32,93.74349117279053,75,20
Bloomberg подсчитал траты Газпромбанка и НОВАТЭКа на лоббистов в США,2015-05-15 08:58:28,-96.9386875629425,25,-20
Total сделала ставку на отмену санкций через три года,2015-07-08 14:12:00,0,Error_Evaluation_Gigachat,50
"«Роснефть», «Газпром» и НОВАТЭК отложили ввод новых месторождений",2015-11-08 19:44:17,0,-50,-30
НОВАТЭК попросил отсрочить разведку на шельфе из-за мин,2015-11-20 14:43:17,-91.62850379943848,Error_Evaluation_Gigachat,-20
«Коммерсантъ» узнал о затягивании сделки НОВАТЭК с китайскими инвесторами,2015-12-11 02:03:05,0,-50,-30
