title,published,KernAI_stock_news_distilbert,gigachat_score_only,deepseek_score
Бывшему владельцу ПИК Юрию Жукову присвоили статус подозреваемого,2014-07-09 08:30:24,0,Error_Evaluation_Gigachat,-30
ПИК сократил продажи квартир в первом полугодии на 25%,2014-07-22 11:22:55,-99.44334626197815,-75,-40
Основатель группы ПИК вложился в новые девелоперские проекты,2014-08-21 02:54:46,99.66074228286743,75,50
ПИК продаст проекты по строительству дорогого жилья,2014-09-03 19:05:08,0,-75,-20
В Москве арестовали основателя группы ПИК Юрия Жукова,2014-11-22 17:20:44,-99.29381012916565,-80,-40
Основатель группы ПИК арестован по делу «Павловскгранита»,2014-11-23 19:23:02,-84.48432087898254,-80,-70
Суд признал законность ареста основателя компании «ПИК»,2014-12-08 12:43:26,0,-50,-40
"Выручка ПИК снизилась на 17,5% по итогам 2014 года",2015-01-23 09:14:47,-99.78950023651123,-80,-40
Ажиотажный спрос на квартиры не помог ПИК увеличить выручку в 2014 году,2015-01-25 11:27:21,-98.33745956420898,-30,-30
Суд признал законным продление домашнего ареста основателю группы «ПИК»,2015-01-26 12:57:40,0,-50,5
Чистая прибыль группы ПИК упала почти в два раза,2015-04-02 16:40:32,-99.70666766166687,-50,-50
Объем реализации недвижимости ГК «ПИК» снизился почти на 20% ,2015-04-16 09:20:13,-99.64721202850342,-50,-40
Девелоперы отчитались о падении продаж квартир вдвое в начале года,2015-04-22 11:09:06,-99.82012510299683,-80,-60
Группа ПИК получила под застройку бывшую территорию ВДНХ,2015-05-15 15:52:50,0,85,50
ВТБ стал владельцем 20% группы ПИК,2015-06-23 20:47:55,95.29632925987244,75,50
СМИ узнали о продаже площадки на Ярославском шоссе акционером группы ПИК,2016-03-25 02:54:20,0,-50,5
S&P отправило на пересмотр рейтинг группы ПИК,2016-11-07 15:12:50,97.15228080749512,-50,-30
СМИ узнали о возможной покупке совладельцем ПИК ТРЦ Columbus,2016-11-29 08:39:16,0,50,50
ФАС признала «Яндекс» и девелопера ПИК нарушителями закона о рекламе,2019-09-23 11:53:07,95.01529932022095,-30,-20
Миноритарий девелоперской группы ПИК продал более 2% акций компании,2019-10-10 09:41:06,-99.55844283103943,-50,-20
СМИ узнали о варианте привлечения Гордеева к ответственности по долгам,2019-12-11 11:44:54,-97.21686244010925,-50,-30
«Траст» попросил банкротить принадлежавшую владельцу ПИК компанию,2020-03-16 11:59:25,-99.835604429245,-75,-30
