title,published,KernAI_stock_news_distilbert,gigachat_score_only,deepseek_score
Сбербанк снизит ставки по потребкредитам и ипотеке,2016-07-06 13:34:51,0,-50,50
Греф предложил выплатить долги СССР акциями Сбербанка,2016-07-06 15:00:59,-88.19926381111145,50,20
Греф счел «амбициозную программу реформ» условием укрепления рубля,2016-07-06 15:05:30,95.48619389533997,75,50
Греф допустил появление женщины во главе Сбербанка,2016-07-06 15:38:43,0,25,5
Греф рассказал об анализе Сбербанком аккаунтов заемщиков в соцсетях,2016-07-06 16:52:00,0,25,5
«Аморально отбирать деньги»: как Греф отвечал на вопросы «ВКонтакте»,2016-07-06 17:24:58,0,50,5
Венчурный фонд Сбербанка инвестировал в Uber,2016-07-07 07:27:44,98.04542660713196,75,70
Чистая прибыль Сбербанка выросла в три раза за первое полугодие,2016-07-07 07:31:06,99.70001578330994,80,80
Снижение ставок по депозитам помогло Сбербанку утроить прибыль,2016-07-07 09:23:29,96.45383954048157,80,70
Сбербанк снизил ставки по вкладам в рублях ,2016-07-07 10:18:40,-83.3372712135315,-50,20
Сбербанк снизил ставки по ипотеке впервые с августа 2015 года,2016-07-12 10:39:04,0,-70,50
Сбербанк заявил о предотвращении хищения 8 млрд руб. со счетов клиентов,2016-07-15 12:23:26,-99.864262342453,75,50
Суд признал банкротом организатора блокады Крыма ,2016-07-18 08:13:34,0,Error_Evaluation_Gigachat,5
Сбербанк снизил ставки по потребительским кредитам,2016-07-18 11:49:47,0,75,50
Сбербанк заявил об отсутствии планов продажи турецкого DenizBank,2016-07-19 19:14:48,0,50,50
Новым владельцем российского офиса ТНК-BP станет группа «Регион»,2016-07-25 11:49:57,0,50,30
Сбербанк продал свою «дочку» в Словакии,2016-07-29 12:09:05,0,-50,20
Банки начали выдавать кредитные карты клиентам в возрасте до 25 лет,2016-08-04 04:49:22,0,30,50
Сбербанк ограничил прием купюр 5 тыс. руб. в устройствах самообслуживания,2016-08-10 06:22:44,-99.19153451919556,-70,-20
Bloomberg увидел в прибыли Сбербанка «индикатор» улучшений в экономике,2016-08-10 10:35:24,98.97957444190979,80,70
Сбербанк впервые займет в рупиях,2016-08-12 12:21:56,97.144216299057,25,50
Сбербанк в первом полугодии увеличил выплаты топ-менеджерам на 51%,2016-08-15 17:37:07,95.6758201122284,-30,20
Заработать на кризисе: почему начало расти потребкредитование,2016-08-23 19:34:02,0,75,30
"Сбербанк увеличил прибыль во втором квартале в 2,6 раза",2016-08-25 07:35:11,99.77259039878845,85,80
Греф увидел признаки стабилизации экономики,2016-08-25 08:13:07,98.68969321250916,50,50
Привилегированные акции Сбербанка установили исторический рекорд,2016-08-25 09:04:32,99.60392713546753,75,70
Акции Сбербанка установили исторический рекорд,2016-08-25 16:02:14,99.81421232223511,90,75
Сбербанку предсказали статус самой дорогой компании в России,2016-08-26 17:54:22,54.76793050765991,85,75
Турецкий DenizBank отменил комиссию за снятие рублей по картам Сбербанка,2016-08-31 14:43:22,-99.81665015220642,50,30
Sberbank CIB заявил о планах разместить бонды для эмитентов в юанях,2016-09-01 05:10:20,0,50,50
Путин пообещал сохранить самостоятельность «РусГидро»,2016-09-02 08:52:30,0,25,50
«Коммерсантъ» рассказал о признании банкротом экс-владельца ТагАЗа,2016-09-07 00:55:21,0,-25,-20
Сбербанк зафиксировал рост прибыли за восемь месяцев в три раза,2016-09-07 07:56:55,99.79653358459473,80,80
В Сбербанке в Москве произошел сбой в проведении операций по вкладам,2016-09-07 09:16:05,-99.80548620223999,-80,-40
Греф предсказал замену тысяч людей искусственным интеллектом в Сбербанке,2016-09-08 17:12:59,0,-50,25
Греф заявил об отсутствии планов по продаже украинской «дочки» Сбербанка,2016-09-08 19:11:49,0,Error_Evaluation_Gigachat,50
МВД и Сбербанк предложили приравнять киберпреступления к краже,2016-09-12 03:19:32,0,50,5
Греф объявил о планах создания виртуального оператора связи,2016-09-13 13:01:01,98.1531023979187,50,30
Российские банки решили заработать на спекуляциях ценными бумагами,2016-09-19 21:01:11,0,Error_Evaluation_Gigachat,30
Сбербанк начал обслуживать карты «Мир»,2016-09-20 07:41:57,98.20187091827393,50,50
«Квадра» заложила Газпромбанку и Сбербанку треть своих активов,2016-09-20 15:12:07,82.21684098243713,-50,-30
Сбербанк и ФСБ решили создать систему защиты от киберпреступников,2016-09-26 08:06:04,0,75,50
Греф спрогнозировал первое снижение числа клиентов в офисах Сбербанка,2016-09-26 08:22:57,-99.71791505813599,-30,-30
Греф отчитался о рекордной прибыли Сбербанка,2016-09-26 08:55:45,99.75910186767578,85,75
«Роснефть» и Сбербанк создали совместное предприятие для газовых проектов,2016-09-27 12:01:29,93.01125407218933,75,50
СМИ узнали о переговорах «Русской платины» Бажаева и Сбербанка о кредите,2016-09-28 05:53:35,0,35,30
В Москве на офис Сбербанка совершено вооруженное нападение,2016-09-28 10:50:44,-99.75544810295105,Error_Evaluation_Gigachat,-40
Сбербанк сообщил о рекордном росте потребительских кредитов,2016-09-28 15:02:30,98.9446222782135,85,50
Ощадбанк заявил о выигранном у Сбербанка деле о торговой марке,2016-09-28 16:34:53,99.18498992919922,-50,30
Подозреваемая в мошенничестве кассир Сбербанка покончила с собой,2016-09-29 06:41:22,-99.05753135681152,Error_Evaluation_Gigachat,-20
Герман Греф рассказал о потере дохода от личных инвестиций из-за налогов,2016-09-30 09:38:56,0,Error_Evaluation_Gigachat,5
Сбербанк снизил ставки по вкладам ,2016-09-30 10:45:53,-93.23257207870483,-80,-20
Кредит от Грефа: как Сбербанк переманивает клиентов чужих банков,2016-09-30 18:49:31,0,85,50
Сбербанк опустил ставки по потребкредитам ниже докризисного уровня,2016-10-03 06:32:54,-99.73358511924744,75,50
Греф назвал причины попадания компаний на «кладбище»,2016-10-03 16:43:07,0,-30,-20
В России заработала платежная система Apple Pay,2016-10-04 04:33:52,91.39767289161682,80,50
Сотрудники Сбербанка в Москве задержали вооруженного грабителя,2016-10-05 07:55:55,-99.59335923194885,75,5
"Прибыль Сбербанка за январь—сентябрь 2016 года выросла в 2,6 раза",2016-10-07 08:00:01,99.7735857963562,80,80
Сбербанк временно повысил максимальную ставку по вкладам,2016-10-11 08:13:54,96.75136208534241,80,50
Инвесторы увеличили прямые вложения в российские компании,2016-10-11 15:21:33,96.81681990623474,75,70
Сбербанк начал устанавливать банкоматы с антивзрывной системой,2016-10-13 10:15:02,99.61932897567749,75,50
Сбербанк заявил о переходе на бесконтактные технологии оплаты к 2020 году,2016-10-13 12:22:57,0,50,75
Клиенты Сбербанка столкнулись с проблемами с мобильными платежами,2016-10-15 21:04:42,-99.76625442504883,-75,-30
Сбербанк и Tele2 запустят виртуального оператора связи,2016-10-17 14:37:53,99.3975818157196,50,50
Сбербанк и ВТБ24 решили снизить ставки по ипотеке,2016-10-18 08:12:35,0,80,50
Аэропорт Домодедово запустит виртуального оператора связи,2016-10-18 11:24:36,99.27520751953125,25,30
Сбербанк в 2017 году сократит сеть своих банкоматов на 10%,2016-10-18 11:57:57,-98.76388311386108,-30,-20
В Сбербанке рассказали об отказе от бронированных инкассаторских машин,2016-10-18 12:16:33,-97.76917695999146,25,5
Сбербанк рассказал о предотвращенном вбросе фальшивок в банкоматы,2016-10-18 13:43:53,0,75,5
Сбербанк обнаружил новый способ кражи денег из банкоматов,2016-10-18 23:49:05,0,Error_Evaluation_Gigachat,-40
«Просверлили дырочку»: как мошенники взламывали банкоматы Сбербанка,2016-10-20 06:12:05,-54.983800649642944,-80,-20
Сбербанк нашел способ кредитовать малый бизнес без залога,2016-10-25 07:10:56,0,75,70
Прокуратура начала проверку «столетнего долга» жителя Орла в 41 млн руб.,2016-10-28 10:07:25,0,0,-20
Сбербанк снизил ставки по кредитам для малого бизнеса,2016-10-31 09:18:30,-94.30174827575684,-50,50
Сбербанк продлил срок выдачи кредитов по ипотеке с господдержкой,2016-11-02 08:40:05,0,75,50
Reuters сообщил о планах Сбербанка сэкономить на аренде в центре Москвы,2016-11-04 19:54:51,95.60526609420776,-50,5
«Коммерсантъ» узнал о планах Сбербанка создать аналог китайской Alibaba,2016-11-07 00:02:22,0,75,50
"Сбербанк в январе—октябре увеличил чистую прибыль по РСБУ в 2,4 раза",2016-11-08 08:42:11,99.60154891014099,75,80
Греф пообещал превратить Сбербанк в «финансовую экосистему»,2016-11-08 14:41:52,98.95176291465759,75,50
В Петербурге осудили похитивших более 400 млн руб. у клиентов Сбербанка,2016-11-09 02:17:47,-99.85479712486267,-50,-20
Хакеры провели DDoS-атаку на Сбербанк и Альфа-банк,2016-11-09 19:08:37,0,-80,-40
Сбербанк заявил об отсутствии потерь клиентов из-за DDoS-атак,2016-11-10 09:20:20,-67.80192255973816,50,50
Минэкономразвития предложило включить Сбербанк в план приватизации,2016-11-10 13:06:26,0,-30,50
Греф назвал себя «самым главным футурологом» в Сбербанке,2016-11-10 14:27:25,95.48836350440979,80,20
ВЭБ анонсировал привлечение денег банков к софинансированию проектов,2016-11-11 12:56:31,99.4297206401825,35,50
Сбербанк снизил ставки по потребительским кредитам,2016-11-14 07:49:41,0,75,30
Розничное кредитование приблизилось к докризисному уровню,2016-11-14 19:28:34,0,50,50
"Чистая прибыль Сбербанка за девять месяцев выросла более чем в 2,5 раза",2016-11-15 08:21:20,99.69221949577332,80,80
Сбербанк инвестирует в Gett,2016-11-15 08:24:18,99.457448720932,50,50
"Сбербанк подал иск к оператору duty free в Шереметьево на 1,9 млрд руб.",2016-11-16 13:18:12,-99.58179593086243,-50,-10
Блокировка LinkedIn «существенно затруднит» работу Сбербанка,2016-11-17 15:42:25,-99.81117248535156,-80,-40
Сбербанк установил место координации DDoS-атак на свои серверы,2016-11-18 11:48:15,0,-80,-30
Сбербанк назвал сообщения о блокировке карт попыткой информационной атаки,2016-11-18 12:56:19,0,75,30
Сбербанк начнет продавать прогнозы на основе данных о поведении клиентов,2016-11-22 13:07:18,95.74541449546814,50,50
Сбербанк прокомментировал оценку доходов Грефа журналом Forbes ,2016-11-24 10:14:03,96.8082845211029,25,5
Сбербанк пообещал упростить покупку облигаций для населения,2016-11-25 10:56:52,96.98796272277832,80,50
