title,published,KernAI_stock_news_distilbert,gigachat_score_only,deepseek_score
"""ВКонтакте"" легализует часть аудиоконтента",2014-06-25 08:07:10,0.0,35,50
"""ВКонтакте"" пожертвовала музыкой для возвращения приложения в AppStore",2014-07-18 17:23:45,98.63298535346983,75,30
Аномальная жара в Петербурге отключила «ВКонтакте»,2014-07-27 15:52:00,-56.03387951850891,80,5
"Сайт ""ВКонтакте"" восстановил свою работу",2014-07-27 18:16:58,99.30030703544617,50,5
"Сооснователи «ВКонтакте» вложили $2,5 млн в сервис зацикленных видео Coub",2014-07-29 11:28:34,99.08328652381896,30,50
Mail.ru Group оценила соцсеть «ВКонтакте» в 100 млрд рублей,2014-08-22 10:28:28,67.0566201210022,75,40
«ВКонтакте» обвинила братьев Перекопских в подделке подписи Дурова,2014-08-25 12:52:47,-99.7385799884796,-80,-10
«Яндекс» начнет размещать контекстную рекламу в соцсети «ВКонтакте»,2014-09-01 02:49:02,0.0,50,50
«ВКонтакте» может перейти под полный контроль Mail.ru Group,2014-09-03 23:45:11,0.0,85,30
Социальную сеть «ВКонтакте» внесли в реестр Роскомнадзора,2014-09-05 14:14:44,0.0,50,5
"Mail.ru Group выкупила 48% акций «ВКонтакте» у UCP за $1,47 млрд",2014-09-16 09:57:33,-51.15476846694946,60,60
СМИ назвали основного кандидата на пост гендиректора «ВКонтакте»,2014-09-16 12:23:25,0.0,25,20
Гендиректором «ВКонтакте» стал Борис Добродеев,2014-09-18 06:59:38,0.0,Error_Evaluation_Gigachat,5
Перекопские пошли на мировую в споре с «ВКонтакте» о «золотых парашютах»,2014-10-07 16:02:22,0.0,50,5
Перекопские отозвали иски против «ВКонтакте» и принесли извинения,2014-10-07 19:23:58,-76.92126631736755,80,50
Mail.Ru привлекла известного юриста для легализации музыки во «ВКонтакте»,2014-10-23 01:49:08,99.17877316474916,75,50
Правообладатели попросили оставить «ВКонтакте» в пиратском списке США,2014-10-27 11:17:26,-99.46526288986206,-80,-30
Доступ к страницам «ВКонтакте» ограничат за пропаганду ИГИЛ,2014-10-27 12:53:45,0.0,Error_Evaluation_Gigachat,5
«МегаФон» потратит на рекламу во «ВКонтакте»  230 млн руб.,2014-12-25 18:20:57,99.4784414768219,50,30
Против паблика во «ВКонтакте» попросили открыть дело за картинку с Фриске,2015-06-16 16:23:46,0.0,Error_Evaluation_Gigachat,0
В соцсети «ВКонтакте» произошел новый сбой,2015-06-29 09:39:21,-99.79668259620668,-50,-20
«ВКонтакте» запустит аналог Instagram в ближайшие дни,2015-07-14 13:59:35,0.0,75,30
Пользователи «ВКонтакте» лишились доступа к ресурсу,2018-02-16 13:16:10,-99.8401701450348,-80,-20
Несвободный интернет: кого судили за посты в социальных сетях,2018-08-15 14:40:50,0.0,Error_Evaluation_Gigachat,-20
СМИ узнали о планах «ВКонтакте» проверять книги на пиратство при загрузке,2019-09-11 22:25:31,-87.78824806213379,-50,30
МИД назвал цензурой запрет на российские соцсети на Украине,2020-05-15 16:42:03,-99.83890056610107,Error_Evaluation_Gigachat,-20
«ВКонтакте» запустила сервис групповых видеозвонков,2020-05-18 09:54:15,96.7285454273224,50,50
