title,published,KernAI_stock_news_distilbert,gigachat_score_only,deepseek_score
НСПК начнет тестовые подключения банков с середины декабря,2014-12-07 23:50:34,94.89550590515137,50,50
Глава ВТБ заявил о готовности продолжить судиться с «Мечелом» ,2014-12-11 10:26:34,-99.77145195007324,-50,-20
Детский магазин на Лубянке не успеют открыть к новогодним распродажам,2014-12-19 13:12:31,0,-25,5
Акции ВТБ выросли почти на 10%,2014-12-22 09:42:56,99.70809817314148,85,70
Сбербанк и ВТБ обвинили Евросоюз в нарушении международных обязательств,2014-12-25 08:21:46,-99.84283447265625,Error_Evaluation_Gigachat,-30
S&P и Moody’s поставили на понижение рейтинги дочек ВТБ и Сбербанка,2014-12-29 18:23:58,-99.84093308448792,-50,-70
В ВТБ разместят 100 млрд рублей из ФНБ,2014-12-30 03:37:28,0,80,50
ВТБ продала лизинговый бизнес на Украине,2014-12-31 10:40:39,0,Error_Evaluation_Gigachat,20
ВТБ докапитализирует украинские «дочки» на $265 млн,2015-01-20 10:09:37,98.25193881988525,Error_Evaluation_Gigachat,50
ВТБ устроил вечеринку в Давосе с Эмиром Кустурицей и Леонидом Агутиным,2015-01-21 08:15:09,0,25,20
Глава ВТБ назвал 2015 год «самым сложным» для российской экономики,2015-01-21 09:12:28,-92.37036108970642,-70,-40
Глава ВТБ заявил в Давосе о намерении России не нарушать обязательства,2015-01-21 11:51:41,0,Error_Evaluation_Gigachat,50
Поручитель «Мечела» не погасил вовремя долг перед ВТБ,2015-01-21 13:13:03,-98.80841374397278,-50,-30
Глава ВТБ рассчитывает на укрепление рубля к концу года,2015-01-21 15:18:09,75.80781579017639,50,50
Костин считает необязательным требовать от Киева досрочно погасить долг,2015-01-21 15:40:01,0,Error_Evaluation_Gigachat,5
Иностранные инвесторы в Давосе усомнились в скорой отмене санкций,2015-01-22 11:55:11,-99.56704378128052,Error_Evaluation_Gigachat,-30
ВТБ оценил размер помощи от АСВ в 300 млрд руб.,2015-01-22 12:46:20,0,-50,50
"ВТБ консолидировал 96,4% акций «Галс-Девелопмент»",2015-01-22 14:10:06,0,50,50
ВТБ подал иск о банкротстве компании «ВИМ-Авиа»,2015-01-22 17:45:45,-99.38569664955139,-50,-30
Сбербанк заявил о невыплате «ВИМ-Авиа» долга с прошлого года  ,2015-01-23 12:34:50,0,-50,-30
Государство поделило 830 млрд рублей между 27 банками ,2015-01-23 18:28:00,0,50,50
AFI отсрочила выплату кредита ВТБ,2015-01-26 17:36:52,-98.79037737846375,50,-40
В J.P.Morgan спрогнозировали рост просрочки по кредитам у госбанков,2015-01-28 06:01:59,-78.52147221565247,-50,-40
ВТБ подал иск о банкротстве трейдера «Мечела»,2015-01-28 09:24:41,-99.18473958969116,-80,-40
Тяжелый год: какие банки смогли получить прибыль в 2014 году,2015-01-28 12:14:13,99.09866452217102,-50,-20
Группа ВТБ может войти в капитал холдинга «Открытие»,2015-01-30 03:04:36,79.726243019104,50,50
СМИ сообщили о предложении кабмина ввести министров в набсоветы госбанков,2015-01-30 06:47:42,0,50,5
ВТБ получит 10% акций «Открытие Холдинг» в счет долга Rusenergo Fund,2015-02-01 21:16:28,98.90682101249695,50,50
ВТБ подал иск к «Мечелу» на 50 млрд руб.,2015-02-02 11:55:31,-99.09906387329102,-70,-30
"Кредитный портфель ВТБ вырос на 16,5%",2015-02-04 18:09:14,99.80698227882385,80,70
ВТБ списал акции в портфеле Rusenergo Fund на 15 млрд руб.,2015-02-05 16:11:19,0,-80,-30
Медведев утвердил размещение в банке ВТБ 26 млрд руб. из ФНБ,2015-02-06 18:53:43,0,50,50
ВТБ принял решение о докапитализации своей «дочки» на Украине,2015-02-07 13:36:53,0,Error_Evaluation_Gigachat,10
Госдума заставит правительство и ЦБ отчитываться о борьбе с кризисом,2015-02-09 20:10:18,-99.3544340133667,80,-20
МВД провело обыски у Константина Малофеева по делу о хищении у ВТБ,2015-02-12 02:38:58,-99.76775050163269,Error_Evaluation_Gigachat,-30
Новые судебные правила ЕС ухудшат шансы России на обжалование санкций,2015-02-12 21:00:06,0,Error_Evaluation_Gigachat,-40
"«Роснефть» разместит в ВТБ депозит на сумму до $1,065 млрд",2015-02-12 21:37:19,86.3662838935852,75,50
ВТБ в 10 раз сократит выплаты правлению из-за падения прибыли,2015-02-13 13:59:55,-92.65382885932922,-50,-30
ВТБ снова подал в арбитражный суд заявление о банкротстве «ВИМ-Авиа»,2015-02-16 06:31:06,0,-50,-20
Сбербанк может подать заявление о банкротстве «ВИМ-Авиа»,2015-02-16 08:43:45,-72.82660007476807,-50,-40
Госбанки начали сокращать выплаты менеджменту,2015-02-16 16:58:55,-95.30008435249329,-30,-20
ВТБ до конца недели предоставит РЖД 15 млрд руб. на покупку локомотивов ,2015-02-18 15:33:15,0,80,50
Группа «ГАЗ» Дерипаски претендует на господдержку в 25 млрд руб.,2015-02-18 22:19:06,92.95374751091003,Error_Evaluation_Gigachat,50
«Мечел» подал в Арбитражный суд Москвы иск к ВТБ,2015-02-19 16:13:17,-99.33938384056091,-50,-20
Банк Москвы войдет в состав ВТБ с 2016 года,2015-02-20 08:54:57,0,80,50
ВТБ выделил 15 млрд руб. на производство локомотивов для РЖД ,2015-02-20 18:20:23,0,60,50
ВТБ опроверг сведения о финансировании завода по сборке автобусов в ЛНР,2015-02-24 15:34:43,0,Error_Evaluation_Gigachat,0
"ВТБ получил 9,99% акций «Открытие Холдинг» в счет долга Rusenergo Fund",2015-02-27 07:36:49,99.24955368041992,50,50
Убыток от электричек могут покрыть с помощью ВТБ,2015-02-27 14:00:54,0,-50,20
Правительство выдвинуло Улюкаева в наблюдательный совет ВТБ,2015-03-05 15:46:29,0,Error_Evaluation_Gigachat,5
Константин Малофеев погасил кредит на $225 млн перед ВТБ,2015-03-06 07:19:04,68.06727051734924,80,50
ВТБ подаст иск о банкротстве «Мечела»,2015-03-06 11:14:53,-99.22540187835693,-80,-40
Акции «Мечела» подешевели на 13% ,2015-03-06 12:50:06,-99.74678754806519,-13,-40
ВТБ официально уведомил кредиторов «Мечела» о судебном иске о банкротстве,2015-03-07 07:58:46,-98.00381064414978,-80,-40
ВТБ отвел «Мечелу» месяц на урегулирование проблемы долга,2015-03-07 09:33:07,-99.51738715171814,-50,-30
Акции «Мечела» упали на 10%,2015-03-10 07:43:17,-99.80512857437134,-50,-30
Акции «Мечела» подскочили на 20% после заявления главы ВТБ,2015-03-11 10:29:11,-99.3067741394043,75,70
ВТБ может показать убыток по итогам 2014 года впервые за шесть лет,2015-03-11 13:19:15,-99.57842230796814,-75,-40
ВТБ снизил чистую прибыль в 125 раз,2015-03-13 09:00:38,-99.5261013507843,-100,-70
ВТБ избежал убытка благодаря распродаже активов и депозиту АСВ,2015-03-13 15:24:13,0,85,50
Костин не увидел конструктивных шагов со стороны «Мечела»,2015-03-13 18:07:58,-67.26683378219604,50,-30
Костин не исключил дальнейшего роста убытков ВТБ от украинского бизнеса,2015-03-13 18:34:04,-92.05190539360046,Error_Evaluation_Gigachat,-40
СМИ сообщили о предложении «Мечела» банкам снизить ставку по его кредитам,2015-03-17 08:07:57,0,50,30
Проект реконструкции стадиона «Динамо» могут урезать из-за кризиса,2015-03-18 06:32:15,-99.24226403236389,-50,-30
"СМИ узнали о согласии «Мечела» заплатить ВТБ 4,5 млрд руб.",2015-03-19 00:55:34,-99.67688322067261,20,30
Экс-сенатор Сергей Гордеев продал свою долю в «Открытие Холдинге»,2015-03-19 21:03:35,0,25,0
МВД закрыло уголовное дело о хищении у ВТБ кредита в $225 млн,2015-03-21 02:51:52,-98.37268590927124,80,5
СМИ сообщили о 83-процентном дисконте ВТБ по долгам Малофеева,2015-03-25 06:44:31,-99.42530989646912,Error_Evaluation_Gigachat,-40
ВТБ опроверг сведения о дисконте при урегулировании долга Малофеева,2015-03-25 13:10:14,-93.59187483787537,50,5
Константин Малофеев расплатился с ВТБ,2015-03-26 19:28:59,97.33572602272034,50,20
