title,published,KernAI_stock_news_distilbert,gigachat_score_only,deepseek_score
Хлебопеки не хотят выкупать черствый хлеб по цене свежего,2013-06-03 06:39:20,0,-30,-20
"""Седьмому континенту"" нашли нового владельца",2013-09-23 06:48:33,97.104012966156,30,50
X5 Retail против «Магнита»: чьи акции выбрать,2015-11-05 15:25:37,0,0,5
Сколько заработали главные российские магазины продуктов. Инфографика,2021-10-28 21:00:23,98.89123439788818,20,50
«Л'Этуаль» нашла поддержку продажам в пандемию с помощью «Перекрестка»,2021-11-10 06:00:55,99.35279488563538,25,50
Владелец впервые раскрыл показатели сети «жестких дискаунтеров» «Чижик»,2022-01-21 10:05:15,0,30,30
«Сбер» заинтересовался покупкой онлайн-гипермаркета у X5 Group,2022-02-21 17:21:20,98.9477813243866,80,50
Собственник «Пятерочки» станет совладельцем двух крупных сетей в Сибири,2022-08-02 11:29:45,0,75,50
"Владелец «Чижика» и «Пятерочки» раскрыл, что помогло нарастить продажи",2022-10-17 11:18:53,99.09753203392029,75,30
Владелец «Пятерочки» связал падение спроса на продукты с отъездом россиян,2023-01-24 12:27:29,-99.58256483078003,Error_Evaluation_Gigachat,-30
Глава Х5 — РБК: «Закупка продуктов впрок — не про разумное потребление»,2023-04-06 04:00:25,-98.42467308044434,-30,5
В России закрыли последний магазин сети «Карусель»,2023-04-06 04:10:20,0,-75,-20
X5 Group объяснила невозможность сменить нидерландскую юрисдикцию,2023-04-06 05:30:29,-99.3370532989502,Error_Evaluation_Gigachat,0
Владелец «Пятерочки» рассказал о «потребительском патриотизме»,2023-04-06 07:00:31,97.7920413017273,25,30
«Чижик» отказался от продажи сигарет,2023-08-04 07:24:19,-92.31626987457275,Error_Evaluation_Gigachat,-20
Владелец «Пятерочки» объяснил подорожание яиц,2024-05-30 05:00:34,0,25,5
Бывший президент МТС перешел на работу в структуру «Альфа-Групп»,2024-06-05 04:00:26,0,20,5
Головная структура X5 Group в РФ начинает процесс распределения акций,2024-08-12 16:27:53,0,75,50
Роспотребнадзор изъял почти 350 кг продукции магазинов Eurospar в Москве,2024-08-20 13:43:24,-99.83286261558533,-80,-20
"Pernod Ricard сократила выручку в 2024 фингоду на 4%, чистую прибыль – на треть",2024-08-29 12:02:00,-98.58227372169495,-60,-40
X5 Group сообщила о планах закончить переезд в Россию к концу года - РБК,2024-09-18 07:31:00,0,30,5
Голландская X5 Group созывает ВОСА 1 ноября,2024-09-26 19:09:00,0,20,5
"X5 покупает B2B-платформу товаров повседневного спроса ""Май24""",2024-10-02 06:06:23,96.80843949317932,70,50
Мосбиржа определила дату начала торгов акциями головной структуры X5,2024-10-09 14:07:52,0,75,50
"X5 Group объявляет о росте чистой выручки на 22,7%",2024-10-16 10:05:00,99.78967905044556,80,75
"Скорр. EBITDA X5 в III квартале увеличилась на 16,6%, чистая прибыль - на 19,3%",2024-10-24 10:08:00,99.6450424194336,80,75
X5 удвоит число товаров с ограниченной наценкой с ноября,2024-10-30 09:06:54,99.57696199417114,80,50
"""Пятерочка"" открыла первые магазины в Бурятии",2024-10-31 08:01:30,99.00525212287903,75,Error_Evaluation_DeepSeek
ПАО «Корпоративный центр ИКС 5» отчет РСБУ,2024-10-31 14:50:00,0,80,50
"""Финам"" хочет в 2025 г. провести IPO одной из своих портфельных IT-компаний",2024-12-12 21:59:00,0,70,50
X5 просит суд продлить приостановку корпоративных прав своего бывшего холдинга,2024-12-25 20:08:00,0,-75,-10
SuperJob: 1% компаний 28 декабря отпустят отдыхать сотрудников без отработки,2024-12-27 02:02:50,-97.81569242477417,30,5
Инвесторы пожаловались в Минфин на повышенный налог для акций Х5 - FrankMedia,2025-01-16 09:52:00,-99.7676432132721,-30,-30
"X5 в IV квартале увеличил выручку на 22,3%, до 1,08 трлн рублей",2025-01-27 10:07:00,98.25202822685242,60,75
"Health & Nutrition получила первый сертификат ""Халяль""",2025-02-12 10:53:31,0,20,50
"Бывший российский Danone получил первый сертификат ""Халяль""",2025-02-12 16:03:00,56.83675408363342,20,30
Глава владельца «Пятерочки» оценила шансы Сoca-Cola вернуться на полку,2025-03-20 06:01:24,99.57364797592163,-30,30
Глава X5 назвала «действенную» меру снижения потребления алкоголя,2025-03-20 08:00:31,95.87430953979492,Error_Evaluation_Gigachat,5
Владелец «Пятерочки» и «Перекрестка» начал нанимать на работу индийцев,2025-03-20 10:32:37,97.27086424827576,30,20
