title,published,KernAI_stock_news_distilbert,gigachat_score_only,deepseek_score
«Яндекс» покупает систему управления интернет-рекламой Adfox,2014-09-10 12:57:31,97.80887961387634,80,50
«Яндекс» обязали делиться с государством информацией о пользователях,2014-09-12 11:13:07,-99.00555610656738,-50,-40
«Яндекс» покупает московскую команду американской компании Parascript,2014-09-30 12:24:12,99.06271696090698,25,50
В России создали сервис для борьбы с подделками в интернет-магазинах,2014-11-05 10:57:38,-85.96276640892029,75,20
«Яндекс» представил версию браузера с прозрачным интерфейсом ,2014-11-27 18:49:36,0,50,50
Браузер одного окна: как «Яндекс» борется с Google за пользователей ,2014-11-30 21:10:30,0,35,50
Бонус на колесах: почему GetTaxi готов возить пассажиров себе в убыток,2014-12-04 14:09:10,87.44400143623352,35,5
Производитель телефонов Fly вышел из партнерства с «Яндексом»,2014-12-07 21:33:47,82.47230648994446,-30,-20
IT-компании пересмотрят программу развития из-за падения рубля ,2014-12-17 06:27:51,0,-50,-30
В Москве заработал сервис «Яндекс.Транспорт»,2015-01-29 13:38:16,91.48497581481934,50,50
«Яндекс» запустил приложение для оплаты парковок ,2015-02-05 12:48:22,93.67147088050842,35,60
Сервис «Яндекс.Почта» недоступен по техническим причинам,2015-02-20 07:47:39,-99.313485622406,-50,-20
«Яндекс.Почта» возобновила свою работу,2015-02-20 08:19:41,92.17529296875,25,5
"Аудитория интернета в России в 2014 году выросла до 72,3 млн человек",2015-04-06 10:36:19,99.81523156166077,50,50
"Акции «Яндекса» на Nasdaq выросли за день на 13,99%",2015-04-15 20:30:29,99.81300234794617,100,75
«Яндекс» допуcтил возможность антимонопольной жалобы на Google в Турции,2015-04-22 13:59:30,0,-50,5
«Яндекс.Переводчик» для iOS научился переводить тексты с картинок,2015-05-20 11:24:55,0,35,50
Google дали месяц на устранение нарушений по делу «Яндекса»,2015-10-05 17:44:18,-90.8548653125763,-50,-20
Цифра дня: акции «Яндекса» выросли на 10%,2015-10-13 16:20:59,99.75798726081848,100,70
Министр связи Ирана сообщил о планах «Яндекса» выйти на иранский рынок,2015-10-25 13:43:07,0,75,50
«Яндекс» предложил 500 тыс. руб. за взлом своего браузера,2015-10-26 14:47:50,0,-20,5
В переводчике «Яндекса» появился язык эльфов,2016-01-15 13:38:34,0,35,5
ФАС — за «Яндекс»: как полумиллиардный штраф изменит бизнес Google,2016-08-11 20:05:55,0,50,30
Сервисы «Яндекса» избавятся от проблем с GPS рядом с Кремлем,2016-12-05 09:03:40,-99.77929592132568,80,40
Пользователи сообщили о сбое в работе почтового сервиса «Яндекса»,2016-12-14 12:56:52,-99.80851411819458,-50,-30
«Яндекс» исключил снижение качества своего навигатора после ввода оплаты,2017-04-24 11:41:59,-99.26393032073975,35,50
«Яндекс» запустил тестирование голосового помощника «Алиса» на Android,2017-05-20 10:55:43,92.02408194541931,85,60
«Яндекс» исключил возможность целенаправленной атаки на портал госуслуг,2017-07-13 18:48:23,0,50,5
Глава «Яндекс.Маркет» — РБК: «Мы гибрид агрегатора и маркетплейса»,2017-07-17 11:03:31,0,25,30
«Яндекс.Маркет» решил трансформироваться в онлайн-гипермаркет,2017-07-17 11:03:44,99.08819198608398,85,50
ФАС сообщила о рассмотрении ходатайства об объединении «Яндекс» и UBER,2017-08-21 12:56:33,0,50,50
ФАС проанализирует ранжирование ответов в Google и «Яндекс»,2017-09-19 09:22:04,0,30,5
«Яндекс» закрыл приложение для каршеринга,2017-11-03 15:52:14,0,-80,-30
«Яндекс» и Сбербанк запустили бета-версию «российского Amazon»,2018-05-21 19:57:57,98.58685731887817,80,50
Правообладатели попросили «Яндекс» удалить из поиска пиратские сайты,2018-06-08 19:04:18,-99.40401315689087,-75,5
В работе сервиса «Яндекс.Директ» произошел сбой,2018-07-19 16:59:33,-98.98724555969238,-50,-20
«Яндекс.Навигатор» заговорил голосом Артема Дзюбы,2018-08-06 08:34:06,99.0355134010315,75,20
Настройка новостей: чем обернется новый закон об агрегаторах,2018-10-24 12:24:49,0,50,5
Нашлись перспективы: как инвесторы отреагировали на результаты «Яндекса»,2018-10-29 11:25:35,0,50,50
Беспилотные автомобили выедут на МКАД и Третье кольцо в начале 2019 года,2018-12-04 11:16:25,0,75,50
"Кнопки, колонки и камера-клипса: что за гаджеты создают интернет-компании",2018-12-05 15:50:50,0,25,5
Глава «Яндекса» назвал арестованного Майкла Калви «стандартом законности»,2019-02-18 08:28:02,-93.02178621292114,Error_Evaluation_Gigachat,5
ФАС завела дело против «Яндекса» из-за рекламы фонаря-электрошокера,2019-02-22 15:49:34,0,-50,-30
На «Яндекс» зашли через Роскомнадзор,2019-03-14 09:00:40,92.60343313217163,-50,-30
Глава Роскомнадзора предположил нахождение «Яндексом» и ФСБ решения спора,2019-06-06 15:09:51,0,Error_Evaluation_Gigachat,20
Google лишила приложения «Яндекса» и «Касперского» части функций,2019-06-13 04:30:20,-99.76847171783447,-50,-30
Акции «Яндекса» рухнули на фоне внесения в Госдуму нового законопроекта,2019-07-26 19:02:22,-99.80751276016235,-80,-70
Госдума отложила обсуждение работы новостных агрегаторов до октября,2019-08-19 11:17:18,-93.35654973983765,25,0
Власти поддержали идею убрать из выдачи «Яндекса» нелегальный алкоголь,2019-08-24 06:32:25,-94.3559467792511,-50,5
«Яндекс» покажет экранизацию комикса издательства сына Арама Габрелянова,2019-10-06 01:52:20,0,50,30
Владельцам значимых веб-ресурсов предложат преференции при госзакупках,2019-10-10 15:34:06,0,35,50
Правительство предложило изменить законопроект о значимых сайтах,2019-10-18 19:32:07,0,50,5
В «Яндексе» сообщили о получении письма с угрозами,2019-11-07 16:01:53,0,-50,-30
"«Яндекс» в 1,7 раза снизил стоимость недвижимости для экономии на налогах",2019-11-14 06:00:33,-93.21907162666321,-40,-30
Уменьшающий долю иностранцев в значимых сайтах проект отзовут из Думы,2019-11-18 11:59:42,-91.05414748191833,50,-20
Акции «Яндекса» подскочили на 10% на новостях об изменении структуры,2019-11-18 14:56:09,99.84474778175354,90,70
Сбербанк одобрил продажу «золотой акции» «Яндексу» за €1,2019-11-19 15:24:09,0,80,50
В работе сервиса «Парковки Москвы» произошел сбой,2019-11-22 18:59:31,-99.74531531333923,-50,-10
"ВТБ решил строить суперприложение с «Магнитом», «Динамо» и Burger King",2019-12-10 02:00:12,98.37775230407715,50,50
