ticker,stage,model,rmse,mape,da,time,predictions,actual,features_count,features
AFLT,1,LSTM,3.1546377259452063,3.7819574476032756,55.55555555555556,44.00176005363464,"[70.11667658338865, 70.11667658338865, 70.11667658338865, 70.11667658338865, 70.11667658338865, 70.11667658338865, 70.11667658338865, 70.11667658338865, 70.11667658338865, 70.11667658338865]","[70.18, 72.45, 73.49, 72.73, 72.17, 74.54, 74.31, 74.87, 73.5, 70.79]",1,['close']
AFLT,1,TCN,2.3033437619985486,2.752233217651205,55.55555555555556,37.99897825717926,"[71.13742601799369, 71.13742601799369, 71.13742601799369, 71.13742601799369, 71.13742601799369, 71.13742601799369, 71.13742601799369, 71.13742601799369, 71.13742601799369, 71.13742601799369]","[70.18, 72.45, 73.49, 72.73, 72.17, 74.54, 74.31, 74.87, 73.5, 70.79]",1,['close']
AFLT,6,LSTM,2.5953653608184157,3.0530829177698964,55.55555555555556,44.604472160339355,"[70.77044745524616, 70.77044745524616, 70.77044745524616, 70.77044745524616, 70.77044745524616, 70.77044745524616, 70.77044745524616, 70.77044745524616, 70.77044745524616, 70.77044745524616]","[70.18, 72.45, 73.49, 72.73, 72.17, 74.54, 74.31, 74.87, 73.5, 70.79]",20,"['close', 'anomaly', 'weighted_score_with_decay', 'open', 'high', 'low', 'volume', 'EMA_14', 'RSI_14', 'MACD', 'return', 'ATR_14', 'VWAP', 'value__mean', 'value__maximum', 'value__minimum', 'value__standard_deviation', 'value__partial_autocorrelation__lag_3', 'value__autocorrelation__lag_5', 'value__longest_strike_above_mean']"
AFLT,6,TCN,2.112193135417313,2.5447253019804705,55.55555555555556,39.43577334880829,"[71.39528025107316, 71.39528025107316, 71.39528025107316, 71.39528025107316, 71.39528025107316, 71.39528025107316, 71.39528025107316, 71.39528025107316, 71.39528025107316, 71.39528025107316]","[70.18, 72.45, 73.49, 72.73, 72.17, 74.54, 74.31, 74.87, 73.5, 70.79]",20,"['close', 'anomaly', 'weighted_score_with_decay', 'open', 'high', 'low', 'volume', 'EMA_14', 'RSI_14', 'MACD', 'return', 'ATR_14', 'VWAP', 'value__mean', 'value__maximum', 'value__minimum', 'value__standard_deviation', 'value__partial_autocorrelation__lag_3', 'value__autocorrelation__lag_5', 'value__longest_strike_above_mean']"
LKOH,1,LSTM,89.57319951713832,1.1534526495057766,44.44444444444444,42.84987051486969,"[6779.152226711531, 6779.152226711531, 6779.152226711531, 6779.152226711531, 6779.152226711531, 6779.152226711531, 6779.152226711531, 6779.152226711531, 6779.152226711531, 6779.152226711531]","[6629.5, 6732.5, 6764.0, 6743.0, 6683.5, 6856.5, 6904.0, 6914.0, 6827.0, 6725.0]",1,['close']
LKOH,1,TCN,90.60480533560165,1.1068245877311107,44.44444444444444,38.93361370563507,"[6764.209099740986, 6764.209099740986, 6764.209099740986, 6764.209099740986, 6764.209099740986, 6764.209099740986, 6764.209099740986, 6764.209099740986, 6764.209099740986, 6764.209099740986]","[6629.5, 6732.5, 6764.0, 6743.0, 6683.5, 6856.5, 6904.0, 6914.0, 6827.0, 6725.0]",1,['close']
LKOH,6,LSTM,114.98380908013802,1.3434732506517717,44.44444444444444,45.19866523742676,"[6705.792536096617, 6705.792536096617, 6705.792536096617, 6705.792536096617, 6705.792536096617, 6705.792536096617, 6705.792536096617, 6705.792536096617, 6705.792536096617, 6705.792536096617]","[6629.5, 6732.5, 6764.0, 6743.0, 6683.5, 6856.5, 6904.0, 6914.0, 6827.0, 6725.0]",20,"['close', 'anomaly', 'weighted_score_with_decay', 'open', 'high', 'low', 'volume', 'EMA_14', 'RSI_14', 'MACD', 'return', 'ATR_14', 'VWAP', 'value__mean', 'value__maximum', 'value__minimum', 'value__standard_deviation', 'value__partial_autocorrelation__lag_3', 'value__autocorrelation__lag_5', 'value__longest_strike_above_mean']"
LKOH,6,TCN,131.63882864586637,1.5628024653247012,44.44444444444444,39.52731409072876,"[6681.427251478691, 6681.427251478691, 6681.427251478691, 6681.427251478691, 6681.427251478691, 6681.427251478691, 6681.427251478691, 6681.427251478691, 6681.427251478691, 6681.427251478691]","[6629.5, 6732.5, 6764.0, 6743.0, 6683.5, 6856.5, 6904.0, 6914.0, 6827.0, 6725.0]",20,"['close', 'anomaly', 'weighted_score_with_decay', 'open', 'high', 'low', 'volume', 'EMA_14', 'RSI_14', 'MACD', 'return', 'ATR_14', 'VWAP', 'value__mean', 'value__maximum', 'value__minimum', 'value__standard_deviation', 'value__partial_autocorrelation__lag_3', 'value__autocorrelation__lag_5', 'value__longest_strike_above_mean']"
MOEX,1,LSTM,10.7158808148873,4.761084879523459,55.55555555555556,43.99650676250458,"[194.39008751723932, 194.39008751723932, 194.39008751723932, 194.39008751723932, 194.39008751723932, 194.39008751723932, 194.39008751723932, 194.39008751723932, 194.39008751723932, 194.39008751723932]","[191.61, 197.45, 206.39, 205.01, 209.57, 208.02, 207.16, 207.87, 203.68, 199.6]",1,['close']
MOEX,1,TCN,9.235930307201674,4.07781413604031,55.55555555555556,39.23160791397095,"[196.1554114777321, 196.1554114777321, 196.1554114777321, 196.1554114777321, 196.1554114777321, 196.1554114777321, 196.1554114777321, 196.1554114777321, 196.1554114777321, 196.1554114777321]","[191.61, 197.45, 206.39, 205.01, 209.57, 208.02, 207.16, 207.87, 203.68, 199.6]",1,['close']
