ticker,stage,rmse,mape,da,feature_count,predictions_count,model,api_type
AFLT,8,1.7036167409367626,2.045480048586654,66.66666666666666,797,10,GPT-4o-mini,openrouter
LKOH,8,513.8717556453166,3.586982494964193,77.77777777777779,797,10,GPT-4o-mini,openrouter
MOEX,8,4.896299623184834,1.9715150131185781,66.66666666666666,797,10,GPT-4o-mini,openrouter
NVTK,8,43.76441476816524,2.886645148703852,44.44444444444444,797,10,GPT-4o-mini,openrouter
PIKK,8,31.549643421122852,4.485331187660691,55.55555555555556,797,10,GPT-4o-mini,openrouter
SBER,8,5.3372511651598185,1.477253984937626,44.44444444444444,797,10,GPT-4o-mini,openrouter
VKCO,8,11.730473136237936,3.4589702005423084,100.0,797,10,GPT-4o-mini,openrouter
VTBR,8,3.536395057116778,1.9969195460315101,88.88888888888889,797,10,GPT-4o-mini,openrouter
X5,8,61.02151260006589,2.199181310991804,55.55555555555556,797,10,GPT-4o-mini,openrouter
YDEX,8,350.42790137558967,3.9829243313973013,66.66666666666666,797,10,GPT-4o-mini,openrouter
AFLT,7,1.2437041448833392,1.4107340573671754,66.66666666666666,797,10,LLaMA-4,openrouter
LKOH,7,107.87498973348735,1.2492586526134628,55.55555555555556,797,10,LLaMA-4,openrouter
MOEX,7,5.129905457218478,2.1939619973594877,33.33333333333333,797,10,LLaMA-4,openrouter
NVTK,7,41.671618399097476,2.79655878971997,55.55555555555556,797,10,LLaMA-4,openrouter
PIKK,7,15.865767551555779,2.798786677211925,55.55555555555556,797,10,LLaMA-4,openrouter
SBER,7,5.876112660594589,1.6216172702677767,55.55555555555556,797,10,LLaMA-4,openrouter
VKCO,7,8.806442528058646,2.792934900170798,44.44444444444444,797,10,LLaMA-4,openrouter
VTBR,7,3.909901533286996,2.75705468491543,44.44444444444444,797,10,LLaMA-4,openrouter
X5,7,63.44229693193654,2.2483115521162347,33.33333333333333,797,10,LLaMA-4,openrouter
YDEX,7,78.57307070491777,1.481706689689633,44.44444444444444,797,10,LLaMA-4,openrouter
AFLT,7,1.5760964437495568,1.8841422111419062,44.44444444444444,797,10,Claude-Haiku,openrouter
