ticker,stage,model,rmse,mape,da,time,load_time,predictions,actual,features_count,features,valid_predictions,total_predictions,model_key,experiment_id
AFLT,1,amazon/chronos-t5-tiny,1.4561012308893115,1.589519245559235,66.66666666666666,0.01979718208312988,1.9961206912994385,"[71.01751708984375, 71.42313385009766, 71.85790252685547, 72.8309097290039, 72.26728057861328, 72.28063201904297, 73.3476791381836, 74.92990112304688, 75.4948501586914, 73.38792419433594]","[70.18, 72.45, 73.49, 72.73, 72.17, 74.54, 74.31, 74.87, 73.5, 70.79]",1,['close'],10,10,chronos-t5-tiny,1
AFLT,1,amazon/chronos-t5-mini,1.5948509959656878,1.7495368692983588,44.44444444444444,0.01825840473175049,1.2325034141540527,"[71.01751708984375, 69.32245635986328, 71.3333969116211, 73.35487365722656, 72.79095458984375, 74.37571716308594, 74.91941833496094, 74.40592193603516, 74.97057342529297, 73.38792419433594]","[70.18, 72.45, 73.49, 72.73, 72.17, 74.54, 74.31, 74.87, 73.5, 70.79]",1,['close'],10,10,chronos-t5-mini,2
AFLT,6,amazon/chronos-t5-tiny,1.6263880630840595,1.7328457849601089,55.55555555555556,0.012426614761352539,1.2473878860473633,"[71.01751708984375, 68.79728698730469, 72.38241577148438, 73.87883758544922, 71.74360656738281, 72.28063201904297, 74.3955078125, 74.92990112304688, 74.97057342529297, 72.33952331542969]","[70.18, 72.45, 73.49, 72.73, 72.17, 74.54, 74.31, 74.87, 73.5, 70.79]",20,"['close', 'anomaly', 'weighted_score_with_decay', 'open', 'high', 'low', 'volume', 'EMA_14', 'RSI_14', 'MACD', 'return', 'ATR_14', 'VWAP', 'value__mean', 'value__maximum', 'value__minimum', 'value__standard_deviation', 'value__partial_autocorrelation__lag_3', 'value__autocorrelation__lag_5', 'value__longest_strike_above_mean']",10,10,chronos-t5-tiny,3
AFLT,6,amazon/chronos-t5-mini,1.4982325883945773,1.7022743803304017,55.55555555555556,0.018227863311767577,1.2446770668029785,"[69.96540832519531, 69.32245635986328, 72.38241577148438, 73.35487365722656, 72.79095458984375, 72.80440521240234, 73.3476791381836, 74.40592193603516, 74.97057342529297, 72.86372375488281]","[70.18, 72.45, 73.49, 72.73, 72.17, 74.54, 74.31, 74.87, 73.5, 70.79]",20,"['close', 'anomaly', 'weighted_score_with_decay', 'open', 'high', 'low', 'volume', 'EMA_14', 'RSI_14', 'MACD', 'return', 'ATR_14', 'VWAP', 'value__mean', 'value__maximum', 'value__minimum', 'value__standard_deviation', 'value__partial_autocorrelation__lag_3', 'value__autocorrelation__lag_5', 'value__longest_strike_above_mean']",10,10,chronos-t5-mini,4
LKOH,1,amazon/chronos-t5-tiny,65.89975516728924,0.8658495016573724,77.77777777777779,0.028551578521728516,1.183765172958374,"[6712.52734375, 6640.46435546875, 6724.11328125, 6756.76513671875, 6741.048828125, 6776.25244140625, 6864.49267578125, 6902.35888671875, 6890.05517578125, 6829.20849609375]","[6629.5, 6732.5, 6764.0, 6743.0, 6683.5, 6856.5, 6904.0, 6914.0, 6827.0, 6725.0]",1,['close'],10,10,chronos-t5-tiny,5
LKOH,1,amazon/chronos-t5-mini,86.13630858798497,1.0903773793593476,66.66666666666666,0.01907050609588623,1.2311100959777832,"[6712.52734375, 6640.46435546875, 6724.11328125, 6807.95263671875, 6741.048828125, 6674.35400390625, 6864.49267578125, 6902.35888671875, 6890.05517578125, 6829.20849609375]","[6629.5, 6732.5, 6764.0, 6743.0, 6683.5, 6856.5, 6904.0, 6914.0, 6827.0, 6725.0]",1,['close'],10,10,chronos-t5-mini,6
LKOH,6,amazon/chronos-t5-tiny,115.86506321448792,1.3087094660425205,55.55555555555556,0.015022802352905273,1.1904895305633545,"[6660.892578125, 6588.98779296875, 6724.11328125, 6756.76513671875, 6741.048828125, 6572.45556640625, 6813.64501953125, 6851.6064453125, 6890.05517578125, 6829.20849609375]","[6629.5, 6732.5, 6764.0, 6743.0, 6683.5, 6856.5, 6904.0, 6914.0, 6827.0, 6725.0]",20,"['close', 'anomaly', 'weighted_score_with_decay', 'open', 'high', 'low', 'volume', 'EMA_14', 'RSI_14', 'MACD', 'return', 'ATR_14', 'VWAP', 'value__mean', 'value__maximum', 'value__minimum', 'value__standard_deviation', 'value__partial_autocorrelation__lag_3', 'value__autocorrelation__lag_5', 'value__longest_strike_above_mean']",10,10,chronos-t5-tiny,7
LKOH,6,amazon/chronos-t5-mini,106.8827132981953,1.2744955385688859,44.44444444444444,0.01896820068359375,1.1811048984527588,"[6712.52734375, 6588.98779296875, 6724.11328125, 6756.76513671875, 6792.1171875, 6623.40478515625, 6966.18896484375, 6902.35888671875, 6890.05517578125, 6829.20849609375]","[6629.5, 6732.5, 6764.0, 6743.0, 6683.5, 6856.5, 6904.0, 6914.0, 6827.0, 6725.0]",20,"['close', 'anomaly', 'weighted_score_with_decay', 'open', 'high', 'low', 'volume', 'EMA_14', 'RSI_14', 'MACD', 'return', 'ATR_14', 'VWAP', 'value__mean', 'value__maximum', 'value__minimum', 'value__standard_deviation', 'value__partial_autocorrelation__lag_3', 'value__autocorrelation__lag_5', 'value__longest_strike_above_mean']",10,10,chronos-t5-mini,8
MOEX,1,amazon/chronos-t5-tiny,4.483968383503345,1.9203342877123348,55.55555555555556,0.01491529941558838,1.233842134475708,"[195.02096557617188, 191.18893432617188, 198.06797790527344, 206.6251220703125, 204.7382354736328, 212.1076202392578, 205.86581420898438, 208.58639526367188, 208.3139190673828, 203.4266815185547]","[191.61, 197.45, 206.39, 205.01, 209.57, 208.02, 207.16, 207.87, 203.68, 199.6]",1,['close'],10,10,chronos-t5-tiny,9
MOEX,1,amazon/chronos-t5-mini,4.524905073650679,1.8421500912472517,44.44444444444444,0.01689281463623047,1.2034075260162354,"[195.02096557617188, 191.18893432617188, 196.55599975585938, 203.60870361328125, 206.24366760253906, 209.0989990234375, 205.86581420898438, 205.5851593017578, 208.3139190673828, 203.4266815185547]","[191.61, 197.45, 206.39, 205.01, 209.57, 208.02, 207.16, 207.87, 203.68, 199.6]",1,['close'],10,10,chronos-t5-mini,10
