ticker,stage,model,rmse,mape,da,time,predictions,actual,features_count,features
AFLT,1,RandomForest,1.6475117896391451,2.0698085506363864,33.33333333333333,2.5897220611572265,"[71.36040000000001, 70.64239999999997, 72.57870000000004, 73.64099999999998, 73.22599999999997, 72.06869999999999, 75.14869999999996, 73.84009999999998, 75.8329, 73.31839999999997]","[70.18, 72.45, 73.49, 72.73, 72.17, 74.54, 74.31, 74.87, 73.5, 70.79]",1,['close']
AFLT,1,XGBModel,1.5781985702420172,2.028477689421205,55.55555555555556,0.12486746311187744,"[71.66455841064453, 70.6826400756836, 72.42290496826172, 73.7527084350586, 73.515625, 72.001220703125, 75.18746948242188, 75.7586898803711, 74.86334991455078, 73.18174743652344]","[70.18, 72.45, 73.49, 72.73, 72.17, 74.54, 74.31, 74.87, 73.5, 70.79]",1,['close']
AFLT,1,CatBoostModel,1.4567871672160253,1.6316690347398375,55.55555555555556,1.671932625770569,"[70.18034756089534, 71.58987622988424, 72.07767170474455, 72.99647354202835, 72.95961487422224, 72.71278940838346, 73.16024496025202, 73.74668066905417, 74.76443294623569, 73.99500113585292]","[70.18, 72.45, 73.49, 72.73, 72.17, 74.54, 74.31, 74.87, 73.5, 70.79]",1,['close']
AFLT,1,RegressionModel,1.6475117896391451,2.0698085506363864,33.33333333333333,2.525986385345459,"[71.36040000000001, 70.64239999999997, 72.57870000000004, 73.64099999999998, 73.22599999999997, 72.06869999999999, 75.14869999999996, 73.84009999999998, 75.8329, 73.31839999999997]","[70.18, 72.45, 73.49, 72.73, 72.17, 74.54, 74.31, 74.87, 73.5, 70.79]",1,['close']
AFLT,6,RandomForest,1.6609057498846749,2.0141887925113418,33.33333333333333,21.350428986549378,"[71.28309999999998, 70.39639999999997, 72.3661, 73.38219999999998, 73.02949999999997, 72.37270000000004, 74.89969999999997, 74.03999999999999, 75.85339999999998, 73.69730000000001]","[70.18, 72.45, 73.49, 72.73, 72.17, 74.54, 74.31, 74.87, 73.5, 70.79]",20,"['close', 'anomaly', 'weighted_score_with_decay', 'open', 'high', 'low', 'volume', 'EMA_14', 'RSI_14', 'MACD', 'return', 'ATR_14', 'VWAP', 'value__mean', 'value__maximum', 'value__minimum', 'value__standard_deviation', 'value__partial_autocorrelation__lag_3', 'value__autocorrelation__lag_5', 'value__longest_strike_above_mean']"
AFLT,6,XGBModel,1.6758201254342824,1.9655473181964263,33.33333333333333,1.1297449588775634,"[71.49967956542969, 71.06941986083984, 72.97269439697266, 74.62725067138672, 72.65323638916016, 71.8426284790039, 74.79405212402344, 74.22924041748047, 75.3673324584961, 73.7779541015625]","[70.18, 72.45, 73.49, 72.73, 72.17, 74.54, 74.31, 74.87, 73.5, 70.79]",20,"['close', 'anomaly', 'weighted_score_with_decay', 'open', 'high', 'low', 'volume', 'EMA_14', 'RSI_14', 'MACD', 'return', 'ATR_14', 'VWAP', 'value__mean', 'value__maximum', 'value__minimum', 'value__standard_deviation', 'value__partial_autocorrelation__lag_3', 'value__autocorrelation__lag_5', 'value__longest_strike_above_mean']"
AFLT,6,CatBoostModel,1.5673652012424732,1.8728199706534443,33.33333333333333,10.646370148658752,"[71.69486421205704, 69.86458813904218, 71.78328664505256, 73.17944432188162, 72.9419979462311, 72.01347315291275, 74.1425241757866, 73.5879216008597, 74.38119118562096, 72.53490921757741]","[70.18, 72.45, 73.49, 72.73, 72.17, 74.54, 74.31, 74.87, 73.5, 70.79]",20,"['close', 'anomaly', 'weighted_score_with_decay', 'open', 'high', 'low', 'volume', 'EMA_14', 'RSI_14', 'MACD', 'return', 'ATR_14', 'VWAP', 'value__mean', 'value__maximum', 'value__minimum', 'value__standard_deviation', 'value__partial_autocorrelation__lag_3', 'value__autocorrelation__lag_5', 'value__longest_strike_above_mean']"
AFLT,6,RegressionModel,1.6609057498846749,2.0141887925113418,33.33333333333333,22.032236790657045,"[71.28309999999998, 70.39639999999997, 72.3661, 73.38219999999998, 73.02949999999997, 72.37270000000004, 74.89969999999997, 74.03999999999999, 75.85339999999998, 73.69730000000001]","[70.18, 72.45, 73.49, 72.73, 72.17, 74.54, 74.31, 74.87, 73.5, 70.79]",20,"['close', 'anomaly', 'weighted_score_with_decay', 'open', 'high', 'low', 'volume', 'EMA_14', 'RSI_14', 'MACD', 'return', 'ATR_14', 'VWAP', 'value__mean', 'value__maximum', 'value__minimum', 'value__standard_deviation', 'value__partial_autocorrelation__lag_3', 'value__autocorrelation__lag_5', 'value__longest_strike_above_mean']"
LKOH,1,RandomForest,84.38799591766598,1.118273660501682,66.66666666666666,2.767451024055481,"[6702.505, 6616.235, 6728.655, 6802.73, 6761.64, 6727.155, 6874.675, 6948.24, 6891.795, 6860.95]","[6629.5, 6732.5, 6764.0, 6743.0, 6683.5, 6856.5, 6904.0, 6914.0, 6827.0, 6725.0]",1,['close']
LKOH,1,XGBModel,118.7976895862464,1.3475588280883184,44.44444444444444,0.14127788543701172,"[6674.8564453125, 6611.7822265625, 6795.19482421875, 6662.9541015625, 6765.697265625, 6753.5712890625, 6890.4765625, 6911.1708984375, 6986.0224609375, 6997.5595703125]","[6629.5, 6732.5, 6764.0, 6743.0, 6683.5, 6856.5, 6904.0, 6914.0, 6827.0, 6725.0]",1,['close']
