ticker,stage,rmse,mape,da,feature_count,predictions_count,model,api_type
AFLT,8,1.525483529901256,1.7680568665617284,33.33333333333333,797,10,BaseLine,baseline
LKOH,8,85.93660454078926,1.0694180375929607,55.55555555555556,797,10,BaseLine,baseline
MOEX,8,4.33388393937816,1.764108494990687,33.33333333333333,797,10,BaseLine,baseline
NVTK,8,37.61180665695279,2.638871487070123,44.44444444444444,797,10,BaseLine,baseline
PIKK,8,16.892927514199553,2.7752478313014137,55.55555555555556,797,10,BaseLine,baseline
SBER,8,4.398739592201383,1.1674370461636017,55.55555555555556,797,10,BaseLine,baseline
VKCO,8,8.75425610774553,2.4589202658856704,33.33333333333333,797,10,BaseLine,baseline
VTBR,8,3.518061966480974,1.9584520066392912,66.66666666666666,797,10,BaseLine,baseline
X5,8,52.147147572997696,1.748620254357223,33.33333333333333,797,10,BaseLine,baseline
YDEX,8,75.06630402517497,1.5345968914492636,44.44444444444444,797,10,BaseLine,baseline
AFLT,8,1.7494570586327645,2.0763353490861713,44.44444444444444,797,10,Gemini-2.5-pro,openrouter
LKOH,8,105.0276070373879,1.3188048475125793,66.66666666666666,797,10,Gemini-2.5-pro,openrouter
MOEX,8,4.318475425425041,1.8184165858790073,33.33333333333333,797,10,Gemini-2.5-pro,openrouter
PIKK,8,19.322462575976186,3.605767872636327,44.44444444444444,797,10,Gemini-2.5-pro,openrouter
SBER,8,5.419524886925051,1.4554757474668094,44.44444444444444,797,10,Gemini-2.5-pro,openrouter
VKCO,8,8.627718122423792,2.7902735529901515,44.44444444444444,797,10,Gemini-2.5-pro,openrouter
VTBR,8,3.464321001293035,2.3218354301313426,33.33333333333333,797,10,Gemini-2.5-pro,openrouter
X5,8,59.26536931463431,2.0764970155501135,44.44444444444444,797,10,Gemini-2.5-pro,openrouter
YDEX,8,86.48835274185763,1.6806435369406136,44.44444444444444,797,10,Gemini-2.5-pro,openrouter
AFLT,8,1.7644914281457982,2.104111419553419,33.33333333333333,797,10,DeepSeekR1,deepseek
AFLT,7,1.4540116918374486,1.6281103558226226,55.55555555555556,797,10,GigaChatMax,gigachat
AFLT,8,1.6040448871524757,1.8943834949419598,44.44444444444444,797,10,DeepSeekR1,deepseek
LKOH,8,98.06685602179768,1.1975066627973847,77.77777777777779,797,10,DeepSeekR1,deepseek
MOEX,8,5.529179866851859,2.378987818876775,44.44444444444444,797,10,DeepSeekR1,deepseek
NVTK,8,43.005370594845495,2.8208317706910213,55.55555555555556,797,10,DeepSeekR1,deepseek
PIKK,8,17.95954453765463,3.1947772692642795,66.66666666666666,797,10,DeepSeekR1,deepseek
SBER,8,5.129718315853223,1.4734323151380098,33.33333333333333,797,10,DeepSeekR1,deepseek
VKCO,8,8.860497164380783,2.5474431983486365,33.33333333333333,797,10,DeepSeekR1,deepseek
